epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.716,2.61917,3.86417,2.11844,0.34355,0.02328,0.0039,0.0013,3.06923,18.5228,2.68711,0.000329861,0.000329861,0.0673438
2,223.285,2.70209,3.60993,2.136,0.33797,0.02196,0.00166,0.0004,3.33014,16.0402,2.80664,0.000663122,0.000663122,0.0343437
3,327.417,2.74275,3.7162,2.16489,0.3352,0.00176,0.00027,0.00012,3.24855,inf,2.70274,0.000996095,0.000996095,0.00134332
4,430.239,2.67188,3.6421,2.104,0.34638,0.02145,0.00218,0.00062,3.4544,7.4462,2.86266,0.000999023,0.000999023,0.000999023
5,533.266,2.59597,3.55494,2.07127,0.35866,0.01318,0.00484,0.00175,3.12599,4.03705,2.59586,0.000998264,0.000998264,0.000998264
6,636.772,2.54851,3.46848,2.00569,0.03099,0.04114,0.0069,0.00218,2.90474,3.92707,2.237,0.000997288,0.000997288,0.000997288
7,740.149,2.54001,3.45363,2.0102,0.03459,0.03697,0.01004,0.00364,2.89983,3.84477,2.2829,0.000996097,0.000996097,0.000996097
8,843.257,2.5021,3.39288,1.99749,0.031,0.04033,0.01134,0.00343,2.86888,3.75025,2.19645,0.00099469,0.00099469,0.00099469
9,945.91,2.48887,3.36216,1.95711,0.05964,0.04744,0.01478,0.00526,2.81239,3.64812,2.20366,0.000993068,0.000993068,0.000993068
10,1049.06,2.45515,3.26238,1.93411,0.06831,0.04501,0.01102,0.00395,2.84926,3.37209,2.1503,0.000991232,0.000991232,0.000991232
11,1151.64,2.43447,3.28483,1.93516,0.08715,0.05797,0.01583,0.00521,2.74496,3.32146,2.14372,0.000989183,0.000989183,0.000989183
12,1254.51,2.39216,3.20497,1.93254,0.04321,0.02284,0.012,0.00407,2.83908,3.3224,2.22479,0.000986922,0.000986922,0.000986922
